DatabaseTypeUsedStr,ModelTypeName,AmountOfModelsInserted,TimeSpentInsertingModels,TimeSpentRetrievingAllModels,AmountOfModelsRetrievedByPrimaryKey,TimeSpentRetrievingModelsByPrimaryKey,AmountOfModelsRetrievedByContent,TimeSpentRetrievingModelsByValue,AmountOfModelsUpdated,FieldsUpdatedPerModel,TimeSpentUpdatingModels,TimeSpentDeletingAllModels
Perst (unscaled),MinuteAveragesRowForPerst,10,33,0,5,1,5,5,5,0,1,5
Cassandra (unscaled),MinuteAveragesRow,10,40,0,5,24,5,189,5,0,14,79
MySQL (unscaled),MinuteAveragesRow,10,23,0,5,2,5,342,5,0,3,19
PostgreSQL (unscaled),MinuteAveragesRow,10,18,0,5,1,5,8,5,0,1,3
Redis (unscaled),MinuteAveragesRow,10,27,0,5,2,5,27,5,0,2,2
MongoDB (unscaled),MinuteAveragesRow,10,254,0,5,1,5,84,5,0,2,14
MySQLWithDapper (unscaled),MinuteAveragesRow,10,13,0,5,4,5,50,5,0,6,9
Entity Framework MySQL (unscaled),MinuteAveragesRow,10,1076,0,5,3,5,611,5,0,5,61
CQRS (Read DB Redis with Write DB PostgreSQL) (unscaled),MinuteAveragesRow,10,20,0,5,2,5,3,5,0,5,19
Perst (unscaled),MinuteAveragesRowForPerst,100,4,0,50,3,50,3,50,0,1,1
Cassandra (unscaled),MinuteAveragesRow,100,350,0,50,395,50,1100,50,0,170,303
MySQL (unscaled),MinuteAveragesRow,100,21,0,50,18,50,45,50,0,6,13
PostgreSQL (unscaled),MinuteAveragesRow,100,30,0,50,6,50,6,50,0,8,14
Redis (unscaled),MinuteAveragesRow,100,19,0,50,1,50,2,50,0,4,1
MongoDB (unscaled),MinuteAveragesRow,100,15,0,50,2,50,5,50,0,5,4
MySQLWithDapper (unscaled),MinuteAveragesRow,100,37,0,50,21,50,64,50,0,6,15
Entity Framework MySQL (unscaled),MinuteAveragesRow,100,97,0,50,2,50,2,50,0,23,74
CQRS (Read DB Redis with Write DB PostgreSQL) (unscaled),MinuteAveragesRow,100,111,0,50,1,50,1,50,0,17,118
Perst (unscaled),MinuteAveragesRowForPerst,1000,288,0,500,271,500,268,500,0,15,16
Cassandra (unscaled),MinuteAveragesRow,1000,2361,0,500,2372,500,8745,500,0,825,1099
MySQL (unscaled),MinuteAveragesRow,1000,84,0,500,266,500,339,500,0,78,120
PostgreSQL (unscaled),MinuteAveragesRow,1000,124,0,500,171,500,108,500,0,87,221
Redis (unscaled),MinuteAveragesRow,1000,80,0,500,7,500,5,500,0,34,11
MongoDB (unscaled),MinuteAveragesRow,1000,71,0,500,12,500,20,500,0,51,37
MySQLWithDapper (unscaled),MinuteAveragesRow,1000,89,0,500,326,500,756,500,0,60,161
Entity Framework MySQL (unscaled),MinuteAveragesRow,1000,904,0,500,20,500,18,500,0,501,1080
CQRS (Read DB Redis with Write DB PostgreSQL) (unscaled),MinuteAveragesRow,1000,1532,0,500,7,500,5,500,0,331,1238
Perst (unscaled),MinuteAveragesRowForPerst,5000,7000,0,2500,6895,2500,6829,2500,0,113,95
Cassandra (unscaled),MinuteAveragesRow,5000,6317,0,2500,10193,2500,31909,2500,0,2311,3590
MySQL (unscaled),MinuteAveragesRow,5000,609,0,2500,2889,2500,2607,2500,0,370,703
PostgreSQL (unscaled),MinuteAveragesRow,5000,934,0,2500,606,2500,579,2500,0,684,1118
Redis (unscaled),MinuteAveragesRow,5000,380,0,2500,32,2500,39,2500,0,175,32
MongoDB (unscaled),MinuteAveragesRow,5000,348,0,2500,85,2500,101,2500,0,284,232
MySQLWithDapper (unscaled),MinuteAveragesRow,5000,606,0,2500,3889,2500,3920,2500,0,385,647
Entity Framework MySQL (unscaled),MinuteAveragesRow,5000,4778,0,2500,322,2500,256,2500,0,9004,11515
CQRS (Read DB Redis with Write DB PostgreSQL) (unscaled),MinuteAveragesRow,5000,9598,0,2500,29,2500,28,2500,0,1515,8204
